#dig 12x12 area
d4(12x12),,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#
,,,,,,,,,,,,
#zone Place stockpiles,,,,,,,,,,,,
"g{name=""Finished Clothes""}(12x3)",,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
"hlS{name=""Clothing Supplies""}(12x6)",,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
wo,,,wk,,,we,,,wd,,,#
,,,,,,,,,,,,#
,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#
